idx,date,week,day,time,id,step,loc
304,08월 31일,2,5,12:00,,,강남
305,08월 31일,2,5,12:30,,,강남
306,08월 31일,2,5,13:00,,,강남
307,08월 31일,2,5,13:30,,,강남
308,08월 31일,2,5,14:00,,,강남
309,08월 31일,2,5,14:30,,,강남
310,08월 31일,2,5,15:00,,,강남
311,08월 31일,2,5,15:30,,,강남
312,08월 31일,2,5,16:00,,,강남
313,08월 31일,2,5,16:30,,,강남
314,08월 31일,2,5,17:00,,,강남
315,08월 31일,2,5,17:30,,,강남
316,08월 31일,2,5,18:00,,,강남
317,08월 31일,2,5,18:30,,,강남
318,08월 31일,2,5,19:00,,,강남
319,08월 31일,2,5,19:30,,,강남
320,08월 31일,2,5,20:00,,,강남
321,08월 31일,2,5,20:30,,,강남
322,08월 31일,2,5,21:00,,,강남
323,08월 31일,2,5,21:30,,,강남
324,08월 31일,2,5,22:00,,,강남
325,09월 01일,2,6,9:00,아침수업,,강남
326,09월 01일,2,6,9:30,아침수업,,강남
327,09월 01일,2,6,10:00,아침수업,,강남
328,09월 01일,2,6,10:30,아침수업,,강남
329,09월 01일,2,6,11:00,아침수업,,강남
330,09월 01일,2,6,11:30,아침수업,,강남
331,09월 01일,2,6,12:00,아침수업,,강남
332,09월 01일,2,6,12:30,아침수업,,강남
333,09월 01일,2,6,13:00,아침수업,,강남
334,09월 01일,2,6,13:30,아침수업,,강남
335,09월 01일,2,6,14:00,,,강남
336,09월 01일,2,6,14:30,,,강남
337,09월 01일,2,6,15:00,,,강남
338,09월 01일,2,6,15:30,,,강남
339,09월 01일,2,6,16:00,,,강남
340,09월 01일,2,6,16:30,,,강남
341,09월 01일,2,6,17:00,,,강남
342,09월 01일,2,6,17:30,,,강남
343,09월 01일,2,6,18:00,,,강남
344,09월 01일,2,6,18:30,,,강남
345,09월 01일,2,6,19:00,,,강남
346,09월 01일,2,6,19:30,,,강남
347,09월 01일,2,6,20:00,,,강남
348,09월 01일,2,6,20:30,,,강남
349,09월 01일,2,6,21:00,,,강남
350,09월 01일,2,6,21:30,,,강남
351,09월 01일,2,6,22:00,,,강남
352,09월 02일,2,7,9:00,아침수업,,강남
353,09월 02일,2,7,9:30,아침수업,,강남
354,09월 02일,2,7,10:00,아침수업,,강남
355,09월 02일,2,7,10:30,아침수업,,강남
356,09월 02일,2,7,11:00,아침수업,,강남
357,09월 02일,2,7,11:30,아침수업,,강남
358,09월 02일,2,7,12:00,아침수업,,강남
359,09월 02일,2,7,12:30,아침수업,,강남
360,09월 02일,2,7,13:00,아침수업,,강남
361,09월 02일,2,7,13:30,아침수업,,강남
362,09월 02일,2,7,14:00,,,강남
363,09월 02일,2,7,14:30,,,강남
364,09월 02일,2,7,15:00,,,강남
365,09월 02일,2,7,15:30,,,강남
366,09월 02일,2,7,16:00,,,강남
367,09월 02일,2,7,16:30,,,강남
368,09월 02일,2,7,17:00,,,강남
369,09월 02일,2,7,17:30,,,강남
370,09월 02일,2,7,18:00,,,강남
371,09월 02일,2,7,18:30,,,강남
372,09월 02일,2,7,19:00,,,강남
373,09월 02일,2,7,19:30,,,강남
374,09월 02일,2,7,20:00,,,강남
375,09월 02일,2,7,20:30,,,강남
376,09월 02일,2,7,21:00,,,강남
377,09월 02일,2,7,21:30,,,강남
378,09월 02일,2,7,22:00,,,강남
